Year,Average Temp,Days Over 90,Days Under 32,Fips Code
2000,58.5,67.0,97.66666666666667,05137
2000,62.4,62.333333333333336,75.66666666666667,05139
2000,57.70000000000001,66.66666666666667,70.66666666666667,05143
2000,59.6,54.666666666666664,82.0,05145
2000,61.9,83.0,61.333333333333336,05149
2000,60.29999999999999,42.0,35.333333333333336,06001
2000,50.4,16.333333333333332,56.0,06003
2000,57.29999999999999,30.333333333333332,151.66666666666666,06005
2000,58.29999999999999,67.33333333333333,73.66666666666667,06007
2000,50.4,30.0,41.666666666666664,06009
2000,62.5,84.33333333333333,6.333333333333333,06011
2000,60.9,58.333333333333336,18.333333333333332,06013
2000,52.9,15.0,11.333333333333334,06015
2000,61.1,64.0,25.666666666666668,06017
2000,63.29999999999999,88.33333333333333,92.33333333333333,06019
2000,62.79999999999999,90.66666666666667,26.333333333333332,06021
2000,58.1,75.66666666666667,23.333333333333332,06023
2000,73.5,149.66666666666666,22.333333333333332,06025
2000,78.0,196.66666666666666,4.333333333333333,06027
2000,65.1,142.66666666666666,17.0,06029
2000,65.1,129.0,29.333333333333332,06031
2000,62.6,108.0,25.0,06033
2000,46.1,43.0,60.666666666666664,06035
2000,63.79999999999999,41.333333333333336,97.0,06037
2000,64.4,102.33333333333333,5.0,06039
2000,60.0,52.333333333333336,23.666666666666668,06041
2000,48.5,3.6666666666666665,48.666666666666664,06043
2000,59.29999999999999,78.66666666666667,94.33333333333333,06045
2000,64.5,79.33333333333333,17.666666666666668,06047
2000,47.79999999999999,61.666666666666664,66.0,06049
2000,38.3,16.333333333333332,224.33333333333334,06051
2000,56.0,1.6666666666666667,124.33333333333333,06053
2000,58.5,28.666666666666668,18.333333333333332,06055
2000,56.6,47.333333333333336,57.0,06057
2000,64.9,21.0,176.66666666666666,06059
2000,61.9,64.0,4.666666666666667,06061
2000,49.4,33.0,68.66666666666667,06063
2000,74.2,115.66666666666667,127.33333333333333,06065
2000,61.79999999999999,98.66666666666667,12.666666666666666,06067
2000,60.29999999999999,43.666666666666664,20.333333333333332,06069
2000,71.6,150.66666666666666,95.66666666666667,06071
2000,74.1,178.0,31.0,06073
2000,57.6,16.0,5.333333333333333,06075
2000,62.20000000000001,56.666666666666664,5.333333333333333,06077
2000,55.4,24.0,22.0,06079
2000,53.6,25.333333333333332,52.0,06081
2000,62.4,55.333333333333336,6.0,06083
2000,55.4,29.0,66.66666666666667,06085
2000,56.9,8.0,3.0,06087
2000,54.79999999999999,54.0,67.0,06089
2000,54.79999999999999,60.0,154.33333333333334,06091
2000,51.20000000000001,36.333333333333336,144.66666666666666,06093
2000,61.9,57.333333333333336,111.33333333333333,06095
